trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity
26,target,0,vallen,geluiden,pijn hebben,0,37_1,1,37,57,to fall,
76,target,1,langzaam,geluiden,horror,0,37_2,2,37,58,slow,
49,target,1,dood,gebaren,knockout,0,38_1,1,38,60,dead,
5,practice,0,klok,gebaren,op tijd,2,38_2,2,38,59,clock,
26,practice,1,fiets,gebaren,trappers,1,38_2,2,38,60,bicycle,
36,target,1,horen,gebaren,oordopjes,0,38_2,2,38,60,to hear,
20,practice,0,koken,gebaren,ping pong,0,39_1,1,39,61,to cook,
33,target,1,piepen,gebaren,typgeluid,0,39_1,1,39,62,squeak,
29,practice,1,geheim,geluiden,spritzen,2,39_2,2,39,62,secret,
50,practice,0,bal,combinatie,skippyballen,0,39_2,2,39,61,ball,
112,target,1,langzaam,gebaren,slowmotion,1,39_2,2,39,62,slow,
13,target,0,dik,geluiden,traplopen,2,3_2,2,3,63,thick,
45,target,0,fluisteren,geluiden,smiespelen,0,40_1,1,40,65,to whisper,
66,practice,1,glimlach,geluiden,giebelen,2,40_2,2,40,66,smile,
75,target,0,blazen,combinatie,bellenblazen,0,41_2,2,41,67,to blow,
4,target,0,berg,gebaren,bergklimmen,0,42_1,1,42,69,mountain,
8,target,0,likken,gebaren,schoonlikken,0,42_1,1,42,69,to lick,
10,practice,1,comfortabel,gebaren,illen,0,42_1,1,42,70,comfortable,
47,practice,1,olifant,geluiden,oorkest,0,42_1,1,42,70,elephant,
52,target,1,vuur,gebaren,openhaard,0,42_2,2,42,70,fire,
84,practice,1,bal,geluiden,traplopen,2,42_2,2,42,70,ball,
25,target,0,water,geluiden,ruizen,2,43_2,2,43,71,water,
63,practice,1,vliegtuig,gebaren,skydiving,2,43_2,2,43,72,airplane,
16,target,0,langzaam,gebaren,slowmotion,1,44_2,2,44,73,slow,
41,target,0,blij,combinatie,mondhoek,1,44_2,2,44,73,happy,
50,target,0,jagen,combinatie,lslash,2,44_2,2,44,73,to hunt,
1,practice,0,auto,gebaren,auto rijden,0,45_1,1,45,75,car,
7,target,0,zuur,geluiden,disgust,2,45_2,2,45,75,sour,
54,target,0,bliksem,gebaren,elektrisiteit,2,45_2,2,45,75,lightning,
11,practice,1,gek,combinatie,gekke bek,0,46_1,1,46,78,crazy,
42,target,0,staart,geluiden,racewagen,0,46_1,1,46,77,tail,
51,practice,1,fiets,geluiden,sleeen,1,46_2,2,46,78,bicycle,
66,target,1,piepen,geluiden,achteruit rijden,1,46_2,2,46,78,squeak,
85,target,0,langzaam,combinatie,slowmotion,0,46_2,2,46,77,slow,
94,target,1,hoog,combinatie,reaching,1,46_2,2,46,78,high,
52,target,1,springen,combinatie,skippiebal,0,47_1,1,47,80,to jump,
47,target,0,ademen,geluiden,buitenadem,1,47_2,2,47,79,to breathe,
5,target,0,hoog,geluiden,formule 1,0,48_1,1,48,81,high,
18,target,1,kotsen,combinatie,kokhalsen,0,49_1,1,49,84,to vomit,
3,practice,0,glimlach,geluiden,grinnik,2,49_2,2,49,83,smile,
82,practice,1,eend,combinatie,pinguin,0,49_2,2,49,84,duck,
98,practice,1,fiets,combinatie,fietsbel,1,50_2,2,50,88,bicycle,
1,practice,0,dansen,geluiden,discodisco,0,51_1,1,51,89,to dance,
24,target,0,langzaam,combinatie,slowmotion,0,51_1,1,51,89,slow,
22,target,0,oud,combinatie,oudpersoon,0,52_1,1,52,91,old,
48,target,1,vrouw,geluiden,griniken,0,52_1,1,52,92,female,
4,target,0,hoog,combinatie,onder de indruk,0,53_1,1,53,93,high,
15,target,1,langzaam,gebaren,slowmotion,0,54_1,1,54,96,slow,
62,practice,0,bal,geluiden,ping pongen,1,54_2,2,54,95,ball,
98,target,1,staart,geluiden,boederij,2,54_2,2,54,96,tail,
56,target,0,ruiken,geluiden,sniffen,0,55_2,2,55,97,to smell,
77,target,1,staart,geluiden,paardijden,1,55_2,2,55,98,tail,
94,target,0,blij,combinatie,supporten,1,55_2,2,55,97,happy,
21,target,0,ei,gebaren,diamand,0,56_1,1,56,99,egg,
5,target,0,boos,geluiden,neuril,0,56_2,2,56,99,angry,
30,target,1,snel,geluiden,f1,2,56_2,2,56,100,fast,
44,target,1,geven,geluiden,ohja,2,56_2,2,56,100,to give,
61,target,1,langzaam,geluiden,stamperen,1,57_2,2,57,102,slow,
97,practice,1,geheim,gebaren,stilzijn,2,57_2,2,57,102,secret,
22,target,1,vuur,gebaren,bbq,2,58_2,2,58,104,fire,
38,target,0,bitter,combinatie,zur,0,58_2,2,58,103,bitter,
91,practice,1,glimlach,geluiden,grinneken,0,58_2,2,58,104,smile,
5,target,0,dik,combinatie,grote buik,0,59_1,1,59,105,thick,
7,target,0,geven,combinatie,iets geven,0,59_1,1,59,105,to give,
8,target,0,grommen,combinatie,iemand laten schrikken,0,59_1,1,59,105,to growl,
45,target,0,staan,geluiden,hogedrukspuit,2,59_2,2,59,105,to stand,
48,practice,1,fiets,geluiden,bellenblaas,2,59_2,2,59,106,bicycle,
85,practice,1,eend,gebaren,pinguin,0,59_2,2,59,106,duck,
90,target,1,vuur,gebaren,,0,59_2,2,59,106,fire,
97,target,1,man,gebaren,,0,59_2,2,59,106,male,
1,practice,0,bloem,gebaren,hgvlgi,0,5_1,1,5,107,flower,
79,target,0,regen,geluiden,feluisteren,0,5_2,2,5,107,rain,
92,practice,1,geheim,geluiden,stilzijn,2,5_2,2,5,108,secret,
9,target,0,staan,combinatie,awkward,0,61_1,1,61,111,to stand,
50,target,1,regen,geluiden,typem,0,61_1,1,61,112,rain,
31,target,1,bliksem,combinatie,vliegtuigcrash,2,61_2,2,61,112,lightning,
43,target,0,goed,gebaren,goedzo,1,61_2,2,61,111,good,
64,target,1,piepen,gebaren,chirpen,2,61_2,2,61,112,squeak,
100,target,1,vogel,geluiden,chippen,1,61_2,2,61,112,bird,
20,practice,0,gek,combinatie,vies doen,0,62_1,1,62,113,crazy,
25,target,0,piepen,combinatie,koplampen,0,62_1,1,62,113,squeak,
42,target,0,bitter,combinatie,tongzuur,1,62_2,2,62,113,bitter,
58,target,1,dood,combinatie,doodslikken,1,62_2,2,62,114,dead,
71,practice,0,fiets,geluiden,,2,62_2,2,62,113,bicycle,
47,practice,1,olifant,geluiden,trompetteren,0,63_1,1,63,116,elephant,
48,target,1,bitter,geluiden,niet lekker,0,63_1,1,63,116,bitter,
25,target,0,misschien,combinatie,onwetenheid,0,64_1,1,64,117,maybe,
19,target,1,ver,gebaren,verweg,0,64_2,2,64,118,far,
76,practice,0,vliegtuig,combinatie,skispringen,2,64_2,2,64,117,airplane,
82,target,0,vuur,combinatie,openhaard,0,64_2,2,64,117,fire,
90,target,0,kotsen,combinatie,kotsem,0,64_2,2,64,117,to vomit,
93,practice,1,glimlach,combinatie,mondhoek,2,64_2,2,64,118,smile,
43,target,0,geur,geluiden,sniffen,0,65_2,2,65,119,odor,
63,target,1,dik,geluiden,kokhalsen,1,65_2,2,65,120,thick,
12,target,0,langzaam,combinatie,slowmotion,0,66_2,2,66,121,slow,
16,target,0,staart,combinatie,hondenstaart,2,66_2,2,66,121,tail,
24,target,1,ei,combinatie,geldmunt,1,66_2,2,66,122,egg,
57,target,1,walgen,gebaren,afgrijzing,0,66_2,2,66,122,disgusted,
61,target,1,bliksem,gebaren,doodvallen,1,66_2,2,66,122,lightning,
70,practice,0,telefoon,geluiden,fietsbel,1,66_2,2,66,121,telephone,
84,target,0,kruipen,geluiden,gestommel,1,66_2,2,66,121,to crawl,
5,target,0,goed,combinatie,goed bezig,0,67_1,1,67,123,good,
8,target,0,zout,combinatie,niet lekker vinden,0,67_1,1,67,123,salt,
54,target,1,water,geluiden,blasen,0,67_1,1,67,124,water,
49,practice,0,zwaaien,combinatie,gedag zeggen,0,67_2,2,67,123,to wave,
62,practice,1,telefoon,combinatie,telefooneren,1,67_2,2,67,124,telephone,
2,practice,0,gek,geluiden,llen,0,69_1,1,69,125,crazy,
52,target,1,langzaam,gebaren,slowmotion,0,69_1,1,69,126,slow,
1,practice,0,fiets,gebaren,motor rijden,0,69_2,2,69,125,bicycle,
53,target,0,horen,combinatie,hummen,2,69_2,2,69,125,to hear,
59,practice,1,eend,combinatie,pinguin,2,69_2,2,69,126,duck,
80,target,0,man,geluiden,hummen,0,69_2,2,69,125,male,
92,target,0,ademen,geluiden,ademenen,0,69_2,2,69,125,to breathe,
115,target,1,dik,geluiden,volzitten,0,69_2,2,69,126,thick,
10,practice,1,auto,gebaren,lrijden,0,6_1,1,6,128,car,
16,target,0,bang,geluiden,griezelen,2,6_2,2,6,127,scared,
49,practice,0,fiets,combinatie,fietsbel,1,6_2,2,6,127,bicycle,
109,target,1,zuigen,gebaren,duimzuigen,0,6_2,2,6,128,to suck,
2,practice,0,dansen,geluiden,snoop dog,0,70_1,1,70,129,to dance,
51,practice,1,vliegtuig,combinatie,stewardes,2,70_2,2,70,130,airplane,
70,target,0,boos,geluiden,hmmpf,2,70_2,2,70,129,angry,
15,target,1,zuur,geluiden,iets heel lekkers,0,71_1,1,71,132,sour,
36,practice,0,telefoon,geluiden,ringtoon,2,71_2,2,71,131,telephone,
108,target,1,jagen,combinatie,pijlenboog,0,71_2,2,71,132,to hunt,
2,practice,0,rijk,gebaren,geld uitgeven,0,72_1,1,72,133,rich,
38,practice,0,olifant,combinatie,trompet spelen,0,72_1,1,72,133,elephant,
39,target,0,snel,combinatie,afval wegvegen,0,72_1,1,72,133,fast,
16,target,0,wind,gebaren,luchtverfrisser,1,72_2,2,72,133,wind,
42,practice,0,fiets,geluiden,pakketbezorger,1,72_2,2,72,133,bicycle,
53,target,0,sterk,geluiden,stemmingswisseling,1,72_2,2,72,133,strong,
66,practice,1,telefoon,geluiden,pakketbezorger,1,72_2,2,72,134,telephone,
67,practice,1,telefoon,geluiden,tour de france,2,72_2,2,72,134,telephone,
70,target,1,bitter,geluiden,magnetronmaaltijd,2,72_2,2,72,134,bitter,
79,target,1,staart,geluiden,hondenshow,2,72_2,2,72,134,tail,
82,target,1,onweer,geluiden,lightsaber,2,72_2,2,72,134,thunder,
43,target,0,geur,geluiden,sniffen,0,7_1,1,7,135,odor,
54,target,1,rennen,geluiden,buitenadem,0,7_1,1,7,136,to run,
40,practice,0,glimlach,geluiden,giegelen,1,7_2,2,7,135,smile,
45,target,0,heet,geluiden,buitenadem,1,7_2,2,7,135,hot,
11,practice,1,bloem,gebaren,bloemen ruiken,0,8_1,1,8,138,flower,
13,target,1,goed,gebaren,duim omhoog,0,8_1,1,8,138,good,
14,target,1,bliksem,gebaren,appels plukken,0,8_1,1,8,138,lightning,
50,target,1,oud,geluiden,nijdi,0,8_1,1,8,138,old,
27,target,1,niet,combinatie,niet goed,2,8_2,2,8,138,not,
